Guid,SBQQ__AppliedImmediatelyContext__c,SBQQ__AppliedImmediately__c,SBQQ__Bundled__c,SBQQ__ComponentCodePosition__c,SBQQ__ComponentCode__c,SBQQ__ComponentDescriptionPosition__c,SBQQ__ComponentDescription__c,SBQQ__ConfiguredSKU__c,SBQQ__DefaultPricingTable__c,SBQQ__DiscountAmount__c,SBQQ__DiscountSchedule__c,SBQQ__Discount__c,SBQQ__DiscountedByPackage__c,SBQQ__ExistingQuantity__c,SBQQ__Feature__c,SBQQ__MaxQuantity__c,SBQQ__MinQuantity__c,SBQQ__Number__c,SBQQ__OptionalSKU__c,SBQQ__PriceEditable__c,SBQQ__ProductCode__c,SBQQ__ProductConfigurationType__c,SBQQ__ProductDescription__c,SBQQ__ProductFamily__c,SBQQ__ProductName__c,SBQQ__ProductQuantityScale__c,SBQQ__ProductSubscriptionPricing__c,SBQQ__QuantityEditable__c,SBQQ__Quantity__c,SBQQ__QuoteLineVisibility__c,SBQQ__Required__c,SBQQ__Selected__c,SBQQ__SubscriptionScope__c,SBQQ__System__c,SBQQ__Type__c,SBQQ__UnitPrice__c,SBQQ__UpliftedByPackage__c
501ef257-438c-476d-9ed2-a21785f501c9,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,6b87c1c5-2b76-4634-afb8-3b5d4e7a252f,#N/A,#N/A,#N/A,#N/A,false,#N/A,217e6498-5a94-4b76-ae2a-df72fd6e3d94,#N/A,#N/A,10.0,453f4e0e-3d7f-4d4d-ae37-3cd7a1c4d1c7,No,COF-OT-3,#N/A,1 24-count Box of K-Cups Pods- One time,BEV,Pumpkin Sandbox Latte,#N/A,#N/A,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
5aa0b3b4-018b-4889-a7d8-6b37d91ce7b6,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,eb4369b7-0742-43a0-bd21-4a94cf8111f0,#N/A,#N/A,#N/A,#N/A,false,#N/A,c145f9ff-e1eb-42e8-8fc4-5776e6fd16e7,#N/A,#N/A,10.0,0336b545-487e-403c-b092-0e20872f48aa,No,POP-R-7,#N/A,11 Gallon Bag in Box Syrup- Recurring,BEV,Release Root Beer Syrup,#N/A,Fixed Price,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
5f171712-7848-4551-b908-5fd6dd1f4627,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,eb4369b7-0742-43a0-bd21-4a94cf8111f0,#N/A,#N/A,#N/A,#N/A,false,#N/A,47540f07-da99-4a01-85cb-f2a6658c6d13,#N/A,#N/A,12.0,2b999faf-5f51-4f65-89fd-9dee50b381e4,No,EQP-OT-3,#N/A,"Consists of 10 lines bundled together
Each line is 3/8"" in diameter
Roll contains 100' of bundled tubing",EQP,100' Roll of 10 Line Bundled Tubing,#N/A,#N/A,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
69852852-1de9-40f2-9769-a90508ff8f5d,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,6b87c1c5-2b76-4634-afb8-3b5d4e7a252f,#N/A,#N/A,#N/A,#N/A,false,#N/A,7b0e867b-de46-4acd-ad25-2ad649075541,#N/A,#N/A,12.0,4ca1e80a-d3bd-40a0-9630-e785ed4024b0,No,EQP-OT-4,#N/A,"Fully programmable coffee maker with an interactive touch-screen that allows for a customizable brewing experience.
Includes Direct Plumb Kit Accessory",EQP,Keurig® K150P - Plumbed Commercial Coffee Maker,#N/A,#N/A,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
750a72af-208d-4c62-9371-1ed4a8288282,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,eb4369b7-0742-43a0-bd21-4a94cf8111f0,#N/A,#N/A,#N/A,#N/A,false,#N/A,c145f9ff-e1eb-42e8-8fc4-5776e6fd16e7,#N/A,1.0,10.0,d9e45101-5943-46ab-a77b-ce6389331328,No,POP-R-2,#N/A,6 Gallon Bag in Box Syrup- Recurring,BEV,Dr. Prod Syrup,#N/A,Fixed Price,false,1.0,#N/A,false,false,#N/A,false,Component,#N/A,false
75ca10b4-0746-463d-bb47-4bd1357a814c,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,6b87c1c5-2b76-4634-afb8-3b5d4e7a252f,#N/A,#N/A,#N/A,#N/A,false,#N/A,217e6498-5a94-4b76-ae2a-df72fd6e3d94,#N/A,#N/A,10.0,9cf4d52f-3440-4462-ba36-54267d2cd7f2,No,COF-OT-5,#N/A,1 24-count Box of K-Cups Pods- One time,BEV,Change Management Mocha,#N/A,#N/A,false,1.0,#N/A,false,false,#N/A,false,Component,#N/A,false
76fc93b0-89ba-44b3-b37a-fce6adba9023,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,6b87c1c5-2b76-4634-afb8-3b5d4e7a252f,#N/A,#N/A,#N/A,#N/A,false,#N/A,217e6498-5a94-4b76-ae2a-df72fd6e3d94,#N/A,#N/A,10.0,33bbde17-05a1-4940-9beb-7601da890fed,No,COF-R-7,#N/A,1 24-count Box of K-Cups Pods- Recurring,BEV,Version Control Cappuccino,#N/A,Fixed Price,false,1.0,#N/A,false,false,#N/A,false,Component,#N/A,false
7851071a-e8c5-4c02-8842-844964428878,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,6b87c1c5-2b76-4634-afb8-3b5d4e7a252f,#N/A,#N/A,#N/A,#N/A,false,#N/A,217e6498-5a94-4b76-ae2a-df72fd6e3d94,#N/A,#N/A,10.0,bd9a3e75-722b-4efb-89b8-b42f29deb011,No,COF-OT-6,#N/A,1 24-count Box of K-Cups Pods- One time,BEV,Uptime Espresso,#N/A,#N/A,false,1.0,#N/A,false,false,#N/A,false,Component,#N/A,false
7bb8a989-3f63-4f9b-8e20-15598cf5b3b1,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,6b87c1c5-2b76-4634-afb8-3b5d4e7a252f,#N/A,#N/A,#N/A,#N/A,false,#N/A,217e6498-5a94-4b76-ae2a-df72fd6e3d94,#N/A,#N/A,10.0,9fde478f-5828-4cd9-a7e1-b6cb67c8fc85,No,COF-R-1,#N/A,8 24-count Boxes of our best selling blends.- Recurring,BEV,Best Sellers Varieties Curated Collection,#N/A,Fixed Price,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
82ebc670-9660-489a-bee1-4113e56768e2,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,6b87c1c5-2b76-4634-afb8-3b5d4e7a252f,#N/A,#N/A,#N/A,#N/A,false,#N/A,217e6498-5a94-4b76-ae2a-df72fd6e3d94,#N/A,1.0,10.0,883fd0d0-1e4f-4944-a1ff-a745e289755a,No,COF-OT-4,#N/A,1 24-count Box of K-Cups Pods- One time,BEV,Deployment Dark Roast,#N/A,#N/A,false,1.0,#N/A,false,false,#N/A,false,Component,#N/A,false
836b1213-61ab-4bba-9c2b-66abfb2412f1,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,eb4369b7-0742-43a0-bd21-4a94cf8111f0,#N/A,#N/A,#N/A,#N/A,false,#N/A,c145f9ff-e1eb-42e8-8fc4-5776e6fd16e7,#N/A,#N/A,10.0,8b17360a-411a-47e1-aa92-e5c52d0f1a86,No,POP-R-1,#N/A,5 Gallon Bag in Box Syrup- Recurring,BEV,Prodly Cola Syrup,#N/A,Fixed Price,false,0.0,#N/A,false,false,#N/A,false,Component,#N/A,false
9d1740cd-be49-4e37-b1d1-479617d0728c,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,59ba43ac-df3c-4b15-bac9-0a563917e83f,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,900.0,9826dfa3-1b66-45fd-960e-6b3c87798c9a,No,#N/A,#N/A,#N/A,#N/A,New Top Product,#N/A,#N/A,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
9e9a0ce2-fe08-4ced-9453-61e6d3867bef,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,6b87c1c5-2b76-4634-afb8-3b5d4e7a252f,#N/A,#N/A,#N/A,#N/A,false,#N/A,217e6498-5a94-4b76-ae2a-df72fd6e3d94,#N/A,#N/A,10.0,61a7010f-cd99-4e67-b71a-20de5968fcfb,No,COF-R-5,#N/A,1 24-count Box of K-Cups Pods- Recurring,BEV,Change Management Mocha,#N/A,Fixed Price,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
a3c282b2-3562-4b3a-af19-a194ded4d82a,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,eb4369b7-0742-43a0-bd21-4a94cf8111f0,#N/A,#N/A,#N/A,#N/A,false,#N/A,c145f9ff-e1eb-42e8-8fc4-5776e6fd16e7,#N/A,#N/A,10.0,98ceed8d-545a-4dfb-94e4-f5d6f90f2874,No,POP-OT-8,#N/A,12 Gallon Bag in Box Syrup- One time,None,Agile Ginger Ale Syrup,#N/A,#N/A,false,1.0,#N/A,false,false,#N/A,false,Component,#N/A,false
a618b393-09e6-45fc-99e3-6316e4851494,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,eb4369b7-0742-43a0-bd21-4a94cf8111f0,#N/A,#N/A,#N/A,#N/A,false,#N/A,c145f9ff-e1eb-42e8-8fc4-5776e6fd16e7,#N/A,#N/A,10.0,221bcbf5-dc27-4348-ad96-bf6c8fc51fbc,No,POP-R-6,#N/A,10 Gallon Bag in Box Syrup- Recurring,BEV,Org-to-Org Orange Syrup,#N/A,Fixed Price,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
aa23ac98-0d21-47f5-8dd6-6a08b2a01441,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,eb4369b7-0742-43a0-bd21-4a94cf8111f0,#N/A,#N/A,#N/A,#N/A,false,#N/A,c145f9ff-e1eb-42e8-8fc4-5776e6fd16e7,#N/A,#N/A,10.0,#N/A,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
b2efccd5-df7b-4b99-adb5-c734842f89c0,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,6b87c1c5-2b76-4634-afb8-3b5d4e7a252f,#N/A,#N/A,#N/A,#N/A,false,#N/A,7b0e867b-de46-4acd-ad25-2ad649075541,#N/A,#N/A,12.0,b71da3ba-aff4-4c0b-ae14-aaaad72c828a,No,EQP-OT-5,#N/A,A high capacity coffee maker designed for continuous use with direct water line plumbing.,EQP,Keurig® K-2500® Plumbed Commercial Coffee Maker,#N/A,#N/A,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
c293bb06-3d5f-4725-9150-3ac62429d527,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,eb4369b7-0742-43a0-bd21-4a94cf8111f0,#N/A,#N/A,#N/A,#N/A,false,#N/A,c145f9ff-e1eb-42e8-8fc4-5776e6fd16e7,#N/A,#N/A,10.0,335743bd-1b39-4d9c-8587-d79904a55021,No,POP-R-4,#N/A,8 Gallon Bag in Box Syrup- Recurring,BEV,Low-Code Lemon-Lime Syrup,#N/A,Fixed Price,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
c31881ed-d740-4a36-9d43-b394c6ad09b9,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,eb4369b7-0742-43a0-bd21-4a94cf8111f0,#N/A,#N/A,#N/A,#N/A,false,#N/A,ce123ae6-2a46-4e58-bd61-e383be645f53,#N/A,#N/A,11.0,5558624a-5362-409f-83de-ef4c5d2871a0,No,SRV-R-2,#N/A,Regular cleaning & preventative maintenance to keep your equipment operating optimally.- Recurring,SRV,Monthly Maintance Plan,#N/A,Fixed Price,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
c3caa380-00e6-4bf8-8eda-9f114eccbabf,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,6b87c1c5-2b76-4634-afb8-3b5d4e7a252f,#N/A,#N/A,#N/A,#N/A,false,#N/A,4a20e4c5-847e-4798-afb0-74747c12ece3,#N/A,#N/A,11.0,547c65c7-1b9a-4883-92e0-98a5c1999132,No,SRV-R-1,#N/A,"K-Cycle™ bins are bundled in packs of five (5), for offices that brew 24 K-Cup® pods or more a day - 450 K-Cup® pods per bin. Single bins are not available.- Recurring
 
EACH BIN INCLUDES
1. Pre-paid UPS return label affixed to bin
2. Pre-affixed bag and zip tie seal for brewed K-Cup® pod collection",SRV,KCup Recycling Program,#N/A,Fixed Price,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
c836c82a-021c-4c72-a790-65ccc70286a0,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,eb4369b7-0742-43a0-bd21-4a94cf8111f0,#N/A,#N/A,#N/A,#N/A,false,#N/A,c145f9ff-e1eb-42e8-8fc4-5776e6fd16e7,#N/A,#N/A,10.0,76e759dd-f810-4c16-87ce-91fdfd39f60b,No,POP-R-3,#N/A,7 Gallon Bag in Box Syrup- Recurring,BEV,Deploy Dew Syrup,#N/A,Fixed Price,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
cb1dcfcc-08ff-4246-8eeb-ec16bce00ab1,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,eb4369b7-0742-43a0-bd21-4a94cf8111f0,#N/A,#N/A,#N/A,#N/A,false,#N/A,c145f9ff-e1eb-42e8-8fc4-5776e6fd16e7,#N/A,#N/A,10.0,ad0f2c4d-0f44-427a-8910-f525957c547d,No,POP-OT-5,#N/A,9 Gallon Bag in Box Syrup- One time,BEV,Go-Live Grape Syrup,#N/A,#N/A,false,1.0,#N/A,false,false,#N/A,false,Component,#N/A,false
d0f106e2-854c-4cdb-b236-57b4777597bf,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,eb4369b7-0742-43a0-bd21-4a94cf8111f0,#N/A,#N/A,#N/A,#N/A,false,#N/A,c145f9ff-e1eb-42e8-8fc4-5776e6fd16e7,#N/A,#N/A,10.0,9c78714c-8625-4db7-95a4-ca5a3db32ace,No,POP-OT-3,#N/A,7 Gallon Bag in Box Syrup- One time,BEV,Deploy Dew Syrup,#N/A,#N/A,false,1.0,#N/A,false,false,#N/A,false,Component,#N/A,false
d6df274a-7aac-456f-be9e-23313026a12b,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,eb4369b7-0742-43a0-bd21-4a94cf8111f0,#N/A,#N/A,#N/A,#N/A,false,#N/A,c145f9ff-e1eb-42e8-8fc4-5776e6fd16e7,#N/A,#N/A,10.0,7803fb01-3076-46e5-ae8f-0e3f0c28110f,No,POP-OT-7,#N/A,11 Gallon Bag in Box Syrup- One time,BEV,Release Root Beer Syrup,#N/A,#N/A,false,1.0,#N/A,false,false,#N/A,false,Component,#N/A,false
dd00b378-8000-4d5a-ad83-10764ea936c1,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,eb4369b7-0742-43a0-bd21-4a94cf8111f0,#N/A,#N/A,#N/A,#N/A,false,#N/A,c145f9ff-e1eb-42e8-8fc4-5776e6fd16e7,#N/A,#N/A,10.0,ac7f488f-23e1-4c3b-9f13-744d8b436866,No,POP-OT-1,#N/A,5 Gallon Bag in Box Syrup- One time,#N/A,Prodly Cola Syrup,#N/A,#N/A,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
e01953bc-dcb1-4db5-93f6-5f9c7934910a,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,eb4369b7-0742-43a0-bd21-4a94cf8111f0,#N/A,#N/A,#N/A,#N/A,false,#N/A,c145f9ff-e1eb-42e8-8fc4-5776e6fd16e7,#N/A,#N/A,10.0,515e6b38-8b5b-4750-92da-5d26f7717d73,No,POP-OT-6,#N/A,10 Gallon Bag in Box Syrup- One time,BEV,Org-to-Org Orange Syrup,#N/A,#N/A,false,1.0,#N/A,false,false,#N/A,false,Component,#N/A,false
e9b29169-2291-4a8e-bd0b-1b83c25df926,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,6b87c1c5-2b76-4634-afb8-3b5d4e7a252f,#N/A,#N/A,#N/A,#N/A,false,#N/A,217e6498-5a94-4b76-ae2a-df72fd6e3d94,#N/A,#N/A,10.0,64c4e900-ffdc-4650-bca4-75dafa6c87eb,No,COF-OT-2,#N/A,1 24-count Box of K-Cups Pods- One time,BEV,Declarative Decaf,#N/A,#N/A,false,1.0,#N/A,false,false,#N/A,false,Component,#N/A,false
ebb7a49b-a672-499e-ac1c-f3e73dd6b61e,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,6b87c1c5-2b76-4634-afb8-3b5d4e7a252f,#N/A,#N/A,#N/A,#N/A,false,#N/A,217e6498-5a94-4b76-ae2a-df72fd6e3d94,#N/A,#N/A,10.0,bfcced44-2abb-4ecd-995d-b8929d2f345e,No,COF-OT-7,#N/A,1 24-count Box of K-Cups Pods- One time,BEV,Version Control Cappuccino,#N/A,#N/A,false,1.0,#N/A,false,false,#N/A,false,Component,#N/A,false
f1240ce9-5855-4a3f-bd78-05158e178b00,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,cf9ca1eb-b2ee-4bef-9ef0-bc23f21f3dc6,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,2.0,b7a02454-3d8b-4a95-b81f-203115129600,No,#N/A,#N/A,#N/A,#N/A,4/10,#N/A,#N/A,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
f4243bdd-b364-4e25-8dae-ce1de5362763,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,59ba43ac-df3c-4b15-bac9-0a563917e83f,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,5.0,ecb55bf7-5d10-4571-a038-dd5a166376b4,No,#N/A,#N/A,#N/A,#N/A,Test test,#N/A,#N/A,false,#N/A,#N/A,false,false,#N/A,false,Component,#N/A,false
